 Iteration          a          b          r
        r
      0       0.00000000       2.00000000       1.00000000
      1       1.00000000       2.00000000       1.50000000
      2       1.00000000       1.50000000       1.25000000
      3       1.00000000       1.25000000       1.12500000
      4       1.12500000       1.25000000       1.18750000
      5       1.18750000       1.25000000       1.21875000
      6       1.18750000       1.21875000       1.20312500
      7       1.18750000       1.20312500       1.19531250
      8       1.19531250       1.20312500       1.19921875
      9       1.19531250       1.19921875       1.19726562
     10       1.19531250       1.19726562       1.19628906
     11       1.19531250       1.19628906       1.19580078
